protein_id	genome_id	tax_class	tier	subtier	evidence_score	n_tools	recommend_family	dbcan_hmm_family	dbcan_sub_family	diamond_family	seq_length	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score	adjudicated_tier
jgi-Parsed1-1123750-gm1.3092_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.439	1	-	-	-	CBM20+GH15	5396	A0A7R8HDK8	34.4	6.393e-32	0.121	0.6759	0.4795	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1074883-fgenesh1_kg.27_#_300_#_TRINITY_DN10018_c0_g2_i1	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.561	1	-	-	-	GT4	692	UZJ56720.1	33.2	2.063e-08	0.0531	0.9028	0.5022	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-765085-CE765084_4788	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.319	1	-	-	-	GH18	1262	K8E1K6	42.7	1.939e-96	0.3003	0.627	0.5569	gray_zone_ambiguous_structure
jgi-Parsed1-1127887-gm1.7229_g	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.5	1	-	-	-	AA3	900	WIA09999.1	62.1	1.429e-79	0.2524	0.7263	0.5578	gray_zone_ambiguous_structure
jgi-Parsed1-1110143-fgenesh1_pm.69_#_1	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.555	1	-	-	-	GT4	374	ARF90664.1	73.4	2.587e-153	0.423	0.8365	0.6706	gray_zone_structure_supports_cazyme
jgi-Parsed1-867743-CE867742_9674	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.544	1	-	-	-	GH16_2	428	WFD30275.1	67.8	1.142e-135	0.3812	0.8022	0.6411	gray_zone_structure_supports_cazyme
jgi-Parsed1-1124620-gm1.3962_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.396	1	-	-	-	GH13_40	1145	ANZ19938.1	41.9	2.293e-15	0.074	0.5474	0.4238	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1155616-estExt_Genewise1Plus.C_120172	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.685	1	-	-	-	GT57	399	G0WE70	78.3	2.083e-187	0.51	0.7153	0.6838	gray_zone_structure_supports_cazyme
jgi-Parsed1-1066544-fgenesh1_kg.16_#_961_#_TRINITY_DN11889_c1_g1_i14	Parsed1	Blastocladiomycota	gray_zone	2A_gray_high	0.642	1	-	-	-	GH16_18	425	A0A2G5UV03	74.6	1.122e-136	0.3838	0.7987	0.6416	gray_zone_structure_supports_cazyme
jgi-Parsed1-1038547-fgenesh1_pg.26_#_55	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.273	1	-	-	-	GT76	1867	UUF07126.1	53.5	3.856e-09	0.0557	0.614	0.4313	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1126265-gm1.5607_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.364	1	-	-	-	GT2	1040	-	0.0		0.0	0.6392	0.4098	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1120909-gm1.251_g	Parsed1	Blastocladiomycota	gray_zone	2B_gray_low	0.305	1	-	-	-	GH31_1	1321	Q2KJY3	34.1	2.871e-06	0.0479	0.5385	0.4085	gray_zone_structure_supports_non_cazyme
jgi-Parsed1-1067264-fgenesh1_kg.17_#_686_#_TRINITY_DN12099_c0_g4_i10	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT2	GT2(394-663)	GT2(396-666)	GT2	674	A0A9Q9RT96	50.3	2.115e-82	0.255	0.7834	0.5734	high_confidence_cazyme
jgi-Parsed1-1040665-fgenesh1_pg.60_#_37	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH16_4	GH16_4(111-429)	GH16_e102(116-430)	GH16_4	443	A0A077WZX2	63.9	1.328e-122	0.349	0.8129	0.6277	high_confidence_cazyme
jgi-Parsed1-1067300-fgenesh1_kg.17_#_722_#_TRINITY_DN12099_c0_g4_i10	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT2	GT2(394-663)	GT2(396-666)	GT2	674	A0A9Q9RT96	50.3	2.115e-82	0.255	0.7834	0.5734	high_confidence_cazyme
jgi-Parsed1-1129095-gm1.8437_g	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH13_25|GH13_25|GH133_e0	GH13_25(172-324)+GH13_25(543-741)+GH133(1112-1577)	GH13_e153(170-314)+GH133_e0(1114-1577)	GH13_25+GH133	1587	-	0.0		0.0	0.4118	0.353	high_confidence_cazyme
jgi-Parsed1-1038696-fgenesh1_pg.28_#_64	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	AA9_e34	AA9(12-223)	AA9_e34(16-223)	AA9	414	A0A9P9L7K8	59.1	1.609e-64	0.2002	0.6648	0.5163	high_confidence_cazyme
jgi-Parsed1-1059107-fgenesh1_kg.10_#_443_#_TRINITY_DN11507_c2_g1_i4	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH31_13	GH31_13(354-809)	GH31_e58(359-809)	GH31_13	828	A0A8J7L9S5	58.5	6.740999999999999e-218	0.6057	0.8775	0.7722	high_confidence_cazyme
jgi-Parsed1-1085695-fgenesh1_kg.49_#_350_#_TRINITY_DN9709_c0_g1_i5	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	AA6_e0	AA6(6-199)	AA6_e0(6-199)	AA6	206	A0A0F7SJW2	79.7	8.232e-87	0.248	0.8125	0.5771	high_confidence_cazyme
jgi-Parsed1-1081417-fgenesh1_kg.39_#_100_#_TRINITY_DN10817_c0_g1_i3	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT8_e26	GT8(6-223)	GT8_e26(8-223)	GT8	474	UEK51443.1	76.3	7.074e-115	0.3307	0.7596	0.6053	high_confidence_cazyme
jgi-Parsed1-108138-CE108137_635	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH16_19	GH16_19(131-279)	GH16_e52(133-281)	GH16	371	A0A7R7XWU1	56.0	3.99e-81	0.2411	0.7937	0.569	high_confidence_cazyme
jgi-Parsed1-1097819-fgenesh1_kg.89_#_57_#_TRINITY_DN12046_c0_g1_i8	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT1_e153	GT1(219-430)	GT1_e153(11-458)	GT1	468	B7JXL8	57.9	5.968000000000001e-102	0.2977	0.884	0.6198	high_confidence_cazyme
jgi-Parsed1-1026619-e_gw1.12.16.1	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT2	GT2(11-483)	GT2(26-482)	GT2	488	A0A061ALI5	72.6	3.99e-174	0.4804	0.8144	0.6938	high_confidence_cazyme
jgi-Parsed1-1037660-fgenesh1_pg.18_#_2	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT69_e2	GT69(14-197)	GT69_e2(11-198)	GT69	290	A0A061B1K9	50.0	1.09e-47	0.1532	0.8246	0.5327	high_confidence_cazyme
jgi-Parsed1-1125527-gm1.4869_g	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH26_e99	GH26(153-297)	GH26_e99(107-318)	GH0	385	BCW12963.1	53.4	2.624e-81	0.2419	0.8527	0.5841	high_confidence_cazyme
jgi-Parsed1-1028612-e_gw1.27.70.1	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH5_7	GH5_7(82-367)	GH5_e286(83-367)	GH5_7	368	A0LSH9	66.5	3.677e-125	0.3516	0.8863	0.6474	high_confidence_cazyme
jgi-Parsed1-1036155-fgenesh1_pg.8_#_9	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT22_e1	GT22(48-485)	GT22_e1(49-486)	GT22	625	B4DYW0	67.4	1.855e-168	0.4726	0.848	0.6983	high_confidence_cazyme
jgi-Parsed1-1127577-gm1.6919_g	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT20_e19	GT20(132-586)	GT20_e19(124-585)	GT20	960	A0A077WMF9	63.7	2.0940000000000003e-270	0.745	0.9007	0.8477	high_confidence_cazyme
jgi-Parsed1-1109114-fgenesh1_pm.11_#_17	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT66_e1	GT66(14-664)	GT66_e1(18-664)	GT66	740	A0A7R9BJ04	76.2	2.452e-290	0.785	0.8296	0.8499	high_confidence_cazyme
jgi-Parsed1-1126499-gm1.5841_g	Parsed1	Blastocladiomycota	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH5_7	GH5_7(58-359)	GH5_e239(61-359)	GH5_7	401	A0A6B8RFS8	65.9	7.744999999999999e-125	0.3525	0.8689	0.6435	high_confidence_cazyme
jgi-Parsed1-1052683-fgenesh1_kg.5_#_1027_#_TRINITY_DN11029_c2_g1_i2	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	629	-	0.0		0.0	0.4403	0.3601	high_confidence_non_cazyme
jgi-Parsed1-378046-CE378045_2340	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	351	A0A0F7SS50	68.1	1.775e-43	0.1445	0.7586	0.5119	high_confidence_non_cazyme
jgi-Parsed1-208568-CE208567_837	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	152	-	0.0		0.0	0.6195	0.4049	high_confidence_non_cazyme
jgi-Parsed1-1127146-gm1.6488_g	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	200	A0A1B2DK27	49.1	0.0004652	0.0383	0.6966	0.4433	high_confidence_non_cazyme
jgi-Parsed1-406120-CE406119_721	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	201	-	0.0		0.0	0.574	0.3935	high_confidence_non_cazyme
jgi-Parsed1-1103189-fgenesh1_kg.119_#_39_#_TRINITY_DN11383_c1_g1_i11	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	506	A0A2S0PCM1	38.9	1.459e-10	0.0583	0.7685	0.4713	high_confidence_non_cazyme
jgi-Parsed1-1090309-fgenesh1_kg.61_#_306_#_TRINITY_DN10338_c1_g1_i3	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	270	-	0.0		0.0	0.6575	0.4144	high_confidence_non_cazyme
jgi-Parsed1-1020344-gw1.38.94.1	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	184	F8A1B3	42.7	4.921e-07	0.0453	0.8318	0.4806	high_confidence_non_cazyme
jgi-Parsed1-1046127-fgenesh1_kg.2_#_498_#_TRINITY_DN11032_c0_g1_i1	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	830	A0A1D9Q0H0	38.6	5.563e-07	0.0496	0.5383	0.4094	high_confidence_non_cazyme
jgi-Parsed1-712249-CE712248_11499	Parsed1	Blastocladiomycota	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	637	A0A4Y7MVQ7	57.6	7.722999999999999e-88	0.2681	0.4888	0.5062	high_confidence_non_cazyme
jgi-Enthe1-1924-Skiv2l2-1	Enthe1	Microsporidia	gray_zone	2B_gray_low	0.363	1	-	-	-	GT1	1037	A0A7R8XCR5	44.7	1.4080000000000002e-57	0.1941	0.6626	0.5127	gray_zone_structure_supports_non_cazyme
jgi-Enthe1-255-RET1-1	Enthe1	Microsporidia	gray_zone	2B_gray_low	0.299	1	-	-	-	GT7	1090	A0A075G076	55.0	1.201e-287	0.7911	0.7876	0.8425	gray_zone_structure_supports_cazyme
jgi-Enthe1-264-VMA1-1	Enthe1	Microsporidia	gray_zone	2A_gray_high	0.5710000000000001	1	-	-	-	AA5	602	QWU85921.1	45.3	1.256e-98	0.2942	0.7692	0.5894	gray_zone_ambiguous_structure
jgi-Enthe1-586-MCM5-1	Enthe1	Microsporidia	gray_zone	2B_gray_low	0.4479999999999999	1	-	-	-	GH78	529	A0A8H8SYW4	66.3	6.976e-202	0.5527	0.8243	0.7324	gray_zone_structure_supports_cazyme
jgi-Enthe1-975-MCM2-1	Enthe1	Microsporidia	gray_zone	2B_gray_low	0.483	1	-	-	-	GH3	552	A0A8H8SYW4	67.8	3.45e-192	0.5292	0.8091	0.7169	gray_zone_structure_supports_cazyme
jgi-Enthe1-1434-PIGA-1	Enthe1	Microsporidia	high_confidence_cazyme	1B_two_tools_agree	0.9642857142857144	2	GT4_e265	GT4(202-341)	GT4_e265(206-339)	-	413	A0A6A5BS74	61.1	3.27e-130	0.3664	0.7813	0.6285	high_confidence_cazyme
jgi-Enthe1-1898-SLY1-1	Enthe1	Microsporidia	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	502	A0A1U9NNY2	35.8	3.551e-11	0.0601	0.775	0.4738	high_confidence_non_cazyme
jgi-Enthe1-544-transcript:OQS54107	Enthe1	Microsporidia	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	234	A0A142BAV9	32.9	4.704e-07	0.0461	0.5143	0.4016	high_confidence_non_cazyme
jgi-Enthe1-1093-KAE1-1	Enthe1	Microsporidia	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	389	Q7VAX5	34.3	6.46e-12	0.0618	0.8231	0.4867	high_confidence_non_cazyme
jgi-Basme2finSC-339393-estExt_fgenesh1_pg.C_3240006	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.515	1	-	-	-	GH16_18	1195	A0A1H1PPL5	67.8	0.0001031	0.0426	0.7421	0.4569	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-32405-CE32404_38844	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.5670000000000001	1	-	-	-	GH89	441	W0JD36	33.8	1.472e-10	0.0583	0.8766	0.4983	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-209107-e_gw1.64.136.1	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.445	1	-	-	-	GH23	520	Q9PBD6	72.1	8.554e-118	0.3403	0.7858	0.6166	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-310411-fgenesh1_kg.13_#_17_#_Locus1720v1rpkm108.03	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.691	1	-	-	-	GH31_1	787	G9I453	56.8	2.461e-24	0.0983	0.8137	0.5026	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-337217-estExt_fgenesh1_pg.C_1680036	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.599	1	-	-	-	AA5_1	406	A0A8H8T2A6	77.6	1.7600000000000002e-148	0.4125	0.8506	0.6689	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-353838-gm1.10349_g	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.355	1	-	-	-	GT2	893	A0A7R9BUJ4	61.1	1.2120000000000001e-244	0.6762	0.8389	0.7979	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-276322-estExt_Genewise1Plus.C_420097	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.371	1	-	-	-	AA3_2	806	A0A9Q8Z7W0	48.3	6.809000000000001e-85	0.2646	0.8674	0.5991	gray_zone_ambiguous_structure
jgi-Basme2finSC-409329-estExt_Genemark1.C_3220004	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.55	1	-	-	-	GT41	376	A0A7R9BNH1	72.4	1.175e-132	0.3708	0.9001	0.6604	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-411441-estExt_Genemark1.C_5900005	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.461	1	-	-	-	GH43_26	943	A0A2H6B7E4	41.1	5.366e-32	0.121	0.6829	0.4812	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-248192-e_gw1.1106.14.1	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.498	1	-	-	-	GH79	435	F7XUT8	36.5	5.692e-17	0.0757	0.7856	0.4842	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-412767-estExt_Genemark1.C_11320006	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.353	1	-	-	-	GT2	1447	WFD23442.1	55.6	1.075e-77	0.2498	0.5996	0.5248	gray_zone_ambiguous_structure
jgi-Basme2finSC-329907-estExt_fgenesh1_pm.C_2010001	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.375	1	-	-	-	CBM50	1016	G8S7V1	35.3	1.912e-19	0.0853	0.7149	0.4714	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-238491-e_gw1.586.32.1	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.59	1	-	-	-	GT32	294	A0A8D9MJ76	73.0	1.513e-104	0.2968	0.8178	0.6028	gray_zone_ambiguous_structure
jgi-Basme2finSC-330808-estExt_fgenesh1_pm.C_3650003	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.563	1	-	-	-	PL38	309	USY56127.1	57.7	2.329e-05	0.0426	0.7143	0.4499	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-375613-MIX10223_731_30	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.2739999999999999	1	-	-	-	GH135	8159	-	0.0		0.0	0.3963	0.3491	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-302926-fgenesh1_pg.249_#_9	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.314	1	-	-	-	GT2	3023	AQM59624.1	41.0	1.826e-07	0.0513	0.459	0.3904	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-344295-gm1.806_g	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.446	1	-	-	-	GT57	552	WEJ94736.1	63.4	7.063e-181	0.5004	0.8946	0.7239	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-319601-fgenesh1_kg.545_#_4_#_Locus2488v1rpkm72.41	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.472	1	-	-	-	AA1	440	A0A3M6VH01	73.1	6.479999999999999e-168	0.463	0.8865	0.7031	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-410515-estExt_Genemark1.C_4600013	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.518	1	-	-	-	GT31	431	A0A3P6FCT7	39.0	6.524e-55	0.1767	0.7595	0.5282	gray_zone_ambiguous_structure
jgi-Basme2finSC-203407-e_gw1.17.147.1	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.36	1	-	-	-	GH43_6	739	H6N1J0	32.0	6.252e-07	0.0487	0.8353	0.4832	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-232042-e_gw1.412.32.1	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.624	1	-	-	-	GH20	470	A0A160SXU2	59.1	7.225999999999999e-103	0.3003	0.843	0.6109	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-236715-e_gw1.531.4.1	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.4679999999999999	1	-	-	-	GH16	444	K8E5P3	57.9	1.041e-92	0.2733	0.8817	0.6071	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-337567-estExt_fgenesh1_pg.C_1910009	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.522	1	-	-	-	GT0	802	-	0.0		0.0	0.4069	0.3517	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-317753-fgenesh1_kg.362_#_3_#_Locus2594v1rpkm68.60	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.653	1	-	-	-	GT0	227	-	0.0		0.0	0.7908	0.4477	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-351909-gm1.8420_g	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.265	1	-	-	-	GH135	7962	A0A6L9JRK9	39.6	1.103e-192	0.55	0.8045	0.7262	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-314688-fgenesh1_kg.162_#_1_#_Locus11887v1rpkm6.68	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.586	1	-	-	-	GT77	312	QTN45225.1	47.1	4.754e-16	0.0722	0.7782	0.4807	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-275627-estExt_Genewise1Plus.C_320013	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.467	1	-	-	-	GT22	873	A0A899G1X6	61.4	4.152e-241	0.6667	0.8485	0.7955	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-374951-MIX9561_19_11	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.361	1	-	-	-	GH16	915	A0A9Q8T7M0	45.2	8.025999999999999e-118	0.3534	0.8119	0.6296	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-315585-fgenesh1_kg.210_#_7_#_Locus2057v1rpkm89.07	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.773	1	-	-	-	GH154	298	A0A9Q9DWZ7	78.3	2.3510000000000002e-132	0.3664	0.748	0.6202	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-341963-estExt_fgenesh1_pg.C_6230011	Basme2finSC	Entomophthoromycotina	gray_zone	2B_gray_low	0.38	1	-	-	-	GH105	508	K8EUQ0	38.7	1.1569999999999999e-39	0.1384	0.9004	0.5443	gray_zone_ambiguous_structure
jgi-Basme2finSC-364390-gm1.20901_g	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.634	1	-	-	-	GT30	486	C6SGH7	76.0	1.552e-190	0.5222	0.8001	0.7111	gray_zone_structure_supports_cazyme
jgi-Basme2finSC-357229-gm1.13740_g	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	1.0	1	-	-	-	CBM50	227	A0A383WL34	65.1	9.192000000000001e-31	0.1079	0.616	0.458	gray_zone_structure_supports_non_cazyme
jgi-Basme2finSC-230854-e_gw1.385.16.1	Basme2finSC	Entomophthoromycotina	gray_zone	2A_gray_high	0.508	1	-	-	-	GT2	951	A0A7H8QHR9	54.7	8.750999999999999e-73	0.235	0.8058	0.5689	gray_zone_ambiguous_structure
jgi-Basme2finSC-252149-estExt_Genewise1.C_180061	Basme2finSC	Entomophthoromycotina	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH31_1	GH31_1(240-770)	GH31_e73(240-772)	GH31_1	901	A0A077WKB9	59.3	1.3980000000000002e-290	0.7929	0.8612	0.8617	high_confidence_cazyme
jgi-Basme2finSC-207047-e_gw1.46.53.1	Basme2finSC	Entomophthoromycotina	high_confidence_cazyme	1A_all_tools_agree	1.0	3	CE4_e169	CE4(36-156)	CE4_e169(41-152)	CE4	273	A0A077WPS8	69.7	6.676e-84	0.2437	0.8794	0.5917	high_confidence_cazyme
