protein_id	tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Pgt_201_B1-7844-rna-gnl-WGS:VSWC-PGT21_001816-T1_mrna	gray_zone	-	QWU90274.1	44.8	2.752e-92	0.2827	0.8675	0.6082
jgi-Morbrun1-484295-fgenesh1_kg.4_#_259_#_TRINITY_DN6858_c0_g3_i2	gray_zone	-	UOH82475.1	72.8	4.408e-133	0.3770	0.8726	0.6566
jgi-PlePMI138_1-338226-fgenesh1_kg.8_#_107_#_TRINITY_DN4482_c0_g1_i2	gray_zone	-	A0A023XE02	33.0	1.213e-06	0.0471	0.8510	0.4863
jgi-XylFL2044-427874-CE427873_13370	gray_zone	-	A0A9Q8WAU1	69.7	6.459e-143	0.4058	0.7942	0.6514
jgi-Settu3-122795-Settu1.estExt_Genewise1.C_8_t10050	gray_zone	-	A0A9Q8WMR9	53.3	1.592e-146	0.4162	0.8711	0.6759
jgi-Anokam1-1512633-fgenesh1_kg.10_#_357_#_TRINITY_DN3292_c0_g1_i1	gray_zone	-	A0A7R9BHT3	41.2	5.313e-31	0.1152	0.8323	0.5157
jgi-Stael1-413180-fgenesh1_pg.15_#_130	gray_zone	-	A0A7U2MZ50	49.5	1.041e-179	0.5131	0.8249	0.7128
jgi-Fusavent1-822892-fgenesh1_pm.3_#_36	gray_zone	-	A0A8H8P5D7	66.3	6.882e-159	0.4468	0.8687	0.6906
jgi-Lepnud1-1118652-gw1.49.27.1	high_confidence_non_cazyme	-	I3XFZ6	65.2	2.443e-08	0.0480	0.7522	0.4620
jgi-FenlinCB54_1-593625-fgenesh1_kg.1_#_3610_#_TRINITY_DN4298_c0_g1_i3	gray_zone	-	-	0.0	nan	0.0000	0.4238	0.3560
jgi-ColoR110_1-139970-MIX12014_6_23	gray_zone	-	A0A9Q8WJJ8	42.1	2.161e-36	0.1309	0.8834	0.5363
jgi-Aspaff1-458658-CE458657_4522	high_confidence_non_cazyme	-	A0A212PJD6	54.1	6.751e-39	0.1318	0.9139	0.5444
jgi-Suigla1-2075338-gm4.23041_g	gray_zone	-	A0A8D9CM86	71.4	2.57e-183	0.5070	0.8738	0.7219
jgi-Ilyeu1-477476-e_gw1.4.528.1	gray_zone	-	A0A7G5JCU4	67.8	5.605e-117	0.3394	0.7880	0.6167
jgi-Fuspr1-7436-transcript:CVL09730	gray_zone	-	A0A0A1MFJ7	59.9	2.953e-117	0.3412	0.8892	0.6429
jgi-Loppic1-503775-fgenesh1_pm.2_#_130	high_confidence_cazyme	GH28_e68	A0A9Q8WKY2	55.9	5.738e-99	0.2897	0.7348	0.5785
jgi-Mycvul1-1139739-fgenesh1_kg.20_#_490_#_TRINITY_DN7122_c0_g1_i2	gray_zone	-	UJR30668.1	36.2	7.814e-29	0.1126	0.7224	0.4869
jgi-Vitco1-1358-transcript:ELA41618	gray_zone	-	WFD24228.1	31.7	9.619e-13	0.0654	0.8393	0.4925
jgi-Zancul2-4283-AX774_g2533T0	gray_zone	-	A0A7H8R1M2	75.9	1.511e-288	0.7958	0.8851	0.8692
jgi-Lorma1-573120-fgenesh1_pm.30_#_47	high_confidence_cazyme	GT22_e1	A0A8G0PIX5	69.6	2.232e-186	0.5183	0.8587	0.7238
jgi-Cersam1-318613-fgenesh1_kg.36_#_37_#_TRINITY_DN10937_c0_g1_i1	gray_zone	-	QWU87570.1	64.0	8.421e-155	0.4389	0.8637	0.6854
jgi-Pbif18543_1-377898-fgenesh1_kg.18_#_154_#_TRINITY_DN4258_c0_g1_i1	gray_zone	-	A0A7H8QQC8	73.2	3.653e-114	0.3229	0.8705	0.6291
jgi-Serend1-1285088-fgenesh1_kg.8_#_2060_#_TRINITY_DN3808_c0_g1_i3	gray_zone	-	A0A7R8HE42	61.5	1.981e-61	0.1937	0.7609	0.5371
jgi-Lopma1-690929-fgenesh1_kg.36_#_97_#_Locus4031v4rpkm0.00_PRE	gray_zone	-	A0A9X4XC33	48.7	1.579e-10	0.0576	0.7717	0.4717
jgi-Cyaste1-306558-fgenesh1_pm.136_#_44	gray_zone	-	ULT88936.1	51.8	2.246e-81	0.2600	0.8732	0.5983
jgi-Fusoxcub1-7352-rna-gnl-WGS:AGND-mrna_FOIG_10423T0	high_confidence_cazyme	GH28_e29	A0A9Q8SGP5	61.9	1.294e-132	0.3770	0.7831	0.6343
jgi-Echtin1-213422-e_gw1.18.207.1	gray_zone	-	-	0.0	nan	0.0000	0.4937	0.3734
jgi-Rhivul1-754458-fgenesh1_kg.1_#_1260_#_TRINITY_DN1966_c0_g1_i1	gray_zone	-	K8ELT8	44.9	7.664e-87	0.2749	0.8565	0.6016
jgi-Oidma1-56909-gm1.10239_g	high_confidence_non_cazyme	-	A0A0X8FC50	50.5	1.637e-06	0.0480	0.4711	0.3918
jgi-Fusspo1-831179-fgenesh1_kg.1_#_10787_#_TRINITY_DN12_c0_g1_i2	gray_zone	-	A0A416HU22	36.6	1.976e-07	0.0497	0.8089	0.4771
jgi-TriharM10_1-361340-e_gw1.80.115.1	gray_zone	-	-	0.0	nan	0.0000	0.4433	0.3608
jgi-Asplup1-228436-MIX2581_9_61	gray_zone	-	A0A0A8K409	40.6	1.703e-07	0.0497	0.7766	0.4690
jgi-Fusdim1-323825-fgenesh1_kg.3_#_1689_#_TRINITY_DN24309_c0_g1_i1	gray_zone	-	A8WLB6	46.2	1.233e-71	0.2304	0.5259	0.4967
jgi-Exigl1-840310-estExt_Genemark1.C_2570010	gray_zone	-	G4T601	70.2	9.171e-77	0.2234	0.8318	0.5697
jgi-Asppern1-185713-fgenesh1_kg.3_#_44_#_TRINITY_DN8433_c0_g1_i1	gray_zone	-	A0A160SZ52	55.3	3.575e-63	0.1990	0.8181	0.5540
jgi-LobpulSc1-2114692-e_gw1.215.14.1	gray_zone	-	E6N5Y4	40.9	5.318e-07	0.0480	0.7506	0.4616
jgi-Aspaur1-163032-fgenesh1_kg.26_#_245_#_TRINITY_DN3327_c0_g2_i1	gray_zone	-	A0A9Q8Z7W0	49.6	3.684e-86	0.2705	0.8991	0.6100
jgi-Stalo1-37343-gm4.8314_g	gray_zone	-	A0A8H8NQI3	51.7	4.953e-142	0.4206	0.6328	0.6185
jgi-XyFL0064_1-435164-CE435163_5237	gray_zone	-	A0A516GEZ8	42.4	1.498e-10	0.0593	0.8423	0.4903
jgi-Tralac1-792459-gm1.7408_g	gray_zone	-	-	0.0	nan	0.0000	0.7854	0.4464
jgi-Colhig2-10405-CH63R_09197T0	gray_zone	-	A0A9Q9B1R6	54.2	9.579e-11	0.0593	0.5200	0.4097
jgi-Chabre1-167439-fgenesh1_kg.51_#_22_#_TRINITY_DN5681_c1_g1_i1	gray_zone	-	A0A8S2B1C7	74.6	2.339e-287	0.7775	0.7296	0.8212
jgi-Jahaq1-425405-fgenesh1_pg.27_#_5	gray_zone	-	D3LB02	44.6	0.000447	0.0410	0.8612	0.4858
jgi-OphpiCECT20416_2-85074-g5361.t1	high_confidence_cazyme	GH2_e138	A0A7S9KMP8	62.3	4.01e-288	0.7897	0.8946	0.8685
jgi-XylFL0255-373465-fgenesh1_kg.41_#_45_#_TRINITY_DN5872_c0_g1_i1	high_confidence_non_cazyme	-	A0A9W4E5U6	68.0	1.478e-06	0.0445	0.6108	0.4250
jgi-Colch1-9358-mrna_5134	high_confidence_cazyme	PL3_2	K3VZT4	71.8	1.918e-73	0.2164	0.6972	0.5325
jgi-FvanT219_1-339633-gm1.7591_g	gray_zone	-	A0A8H8NR81	55.9	3.075e-117	0.3560	0.7135	0.6064
jgi-Cerun2-391868-estExt_fgenesh1_pm.C_40003	gray_zone	-	QGI70183.1	42.3	5.574e-07	0.0462	0.8069	0.4748
jgi-Sisbr1-584518-fgenesh1_kg.36_#_78_#_Locus1125v1rpkm136.08	high_confidence_non_cazyme	-	A0A1M5VN16	50.0	5.988e-18	0.0794	0.6965	0.4638
jgi-Aspara19utr-161591-gm1.4562_g	gray_zone	-	A0A975G804	46.2	1.47e-32	0.1117	0.7826	0.5015
jgi-Blader1-3598-transcript:EEQ86234	gray_zone	-	UJR15328.1	36.6	2.292e-53	0.1806	0.8769	0.5595
jgi-Penla1-382107-fgenesh1_kg.3_#_1083_#_Locus8549v1rpkm2.17	gray_zone	-	A0A517L1J3	66.9	4.894e-19	0.0812	0.7516	0.4785
jgi-Mycbel1-957140-gm1.15147_g	high_confidence_non_cazyme	-	A0A3N0UEH9	55.8	0.0006965	0.0384	0.7463	0.4558
jgi-Morsem1-808839-estExt_Genemark1.C_70120	gray_zone	-	A0A2E9G1A6	31.5	2.334e-19	0.0838	0.8396	0.5018
jgi-Fusox32931-3655-rna-gnl-WGS:AFML-mrna_FOYG_14902T0	gray_zone	-	A0A7H8RC90	54.9	1.557e-239	0.6710	0.8903	0.8081
jgi-Kurca1-3405-KUCA_T00003423001T0	gray_zone	-	A0A448HK95	64.7	0.0004025	0.0393	0.7926	0.4678
jgi-Phcap1-461529-fgenesh1_pm.3_#_415	gray_zone	-	A0A1S9DVV1	64.8	2.486e-83	0.2548	0.7901	0.5749
jgi-Colca1-650021-gm1.9665_g	high_confidence_cazyme	GT2	A0A7S9PTR3	70.8	7.376e-128	0.3656	0.8758	0.6518
jgi-Fusoxpis1-18827-rna-gnl-WGS:AGBI-mrna_FOVG_08061T0	gray_zone	-	QWU88511.1	69.9	2.264e-90	0.2696	0.7783	0.5794
jgi-Suiac1-929965-CE929964_68994	gray_zone	-	G9I453	59.0	1.994e-26	0.1056	0.8031	0.5036
jgi-Aspsub1-34813-CE34812_1282	gray_zone	-	A0A6H0XL47	32.4	9.718e-20	0.0855	0.8232	0.4986
jgi-Mycgal1-1890246-fgenesh1_kg.562_#_11_#_Locus4990v2rpkm39.76	gray_zone	-	A0A7G5YFP7	47.0	2.514e-49	0.1632	0.8024	0.5322
jgi-Thiau1-4533-rna-Thiau2p7_22362	gray_zone	-	WDS61131.1	37.1	3.624e-13	0.0672	0.8307	0.4913
jgi-Aspber1-257042-fgenesh1_kg.27_#_100_#_TRINITY_DN4860_c0_g1_i1	high_confidence_non_cazyme	-	A0A6M7ZRF1	74.6	1.411e-123	0.3551	0.7494	0.6149
jgi-Asppet1-272269-fgenesh1_kg.132_#_96_#_TRINITY_DN6461_c0_g1_i1	gray_zone	-	WEJ95743.1	61.6	0.0	0.9389	0.7700	0.9120
jgi-Trave1-125459-e_gw1.7.1136.1	gray_zone	-	A0A7G8HBT0	75.4	3.384e-06	0.0471	0.7917	0.4715
jgi-Leucr1-328801-gm1.1289_g	gray_zone	-	A0A385BR82	66.9	1.569e-102	0.3054	0.8081	0.6047
jgi-Epini1-438852-fgenesh1_pm.5_#_331	gray_zone	-	-	0.0	nan	0.0000	0.5635	0.3909
jgi-ChetHm540_1-7508-g2936	gray_zone	-	A0A286TA43	47.5	3.75e-08	0.0515	0.8965	0.4999
jgi-Aspestel1-186377-fgenesh1_kg.48_#_87_#_TRINITY_DN6142_c1_g1_i1	high_confidence_non_cazyme	-	QHO35311.1	47.0	1.132e-48	0.1675	0.6721	0.5018
jgi-Macan1-391935-estExt_Genewise1Plus.C_14_t20021	high_confidence_cazyme	GH36_e36	A0A1X7RZ61	63.9	6.026e-257	0.7016	0.8706	0.8184
jgi-Aspflo1-180827-gm1.10654_g	high_confidence_cazyme	AA3_2	Q6MYZ6	67.7	3.791e-218	0.5986	0.8726	0.7675
jgi-Fusco1-511280-e_gw1.8.1202.1	high_confidence_cazyme	GH32_e30	A0A7S8CZV9	57.9	4.875e-195	0.5393	0.8157	0.7235
jgi-Asparx1-214398-gm1.9443_g	gray_zone	-	A0A8S1ZP17	67.6	9.09e-144	0.4127	0.8310	0.6641
jgi-Ricme1-502599-CE502598_6715	gray_zone	-	A5B9G1	60.2	6.754e-12	0.0628	0.7915	0.4793
jgi-Antleu1-28997-CE28996_15702	gray_zone	-	E3FFR9	45.1	1.928e-14	0.0698	0.8128	0.4881
jgi-Penth1-192292-estExt_Genemark1.C_2060012	gray_zone	-	A0A9Q8T5U2	53.9	3.925e-228	0.6422	0.7723	0.7642
jgi-Mychae1-958442-gw1.817.2.1	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.7021	0.4255
jgi-Polar1-513129-estExt_Genewise1.C_320128	gray_zone	-	CAG5109774.1	53.6	1.232e-49	0.1632	0.8784	0.5512
jgi-Sacpr1-72030-fgenesh1_pm.3_#_511	gray_zone	-	A0A7S8DN07	73.4	2.27e-153	0.4258	0.9246	0.6941
jgi-Sakvas1-91-SVAS_05486-R0	gray_zone	-	A0A2S2E0R4	49.3	0.000343	0.0401	0.8057	0.4715
jgi-Fusave1-606776-MIX4995_26_68	high_confidence_cazyme	CBM38_e5|GH32_e104	-	0.0	nan	0.0000	0.4169	0.3542
jgi-Aspsy1-1168052-MIX14391_8_57	gray_zone	-	F4CUL5	48.2	5.036e-17	0.0750	0.8485	0.4997
jgi-Asprhi1-174526-MIX2554_67_85	gray_zone	-	A0A1S9DVV1	63.0	1.127e-84	0.2583	0.7812	0.5745
jgi-Asppha1-13258-e_gw1.138.2.1	gray_zone	-	UJR30406.1	69.5	1.069e-155	0.4372	0.7906	0.6662
jgi-Mycoli1-3454467-gm1.34009_g	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4903	0.3726
jgi-FvanT78_1-273358-gm1.1659_g	gray_zone	-	A0A9Q9DVU5	62.0	9.216e-81	0.2452	0.7786	0.5672
jgi-Asplon1-188591-fgenesh1_kg.26_#_15_#_TRINITY_DN6382_c1_g1_i2	gray_zone	-	WED64221.1	44.3	7.261e-10	0.0550	0.8039	0.4785
jgi-Lenafn_TMI1502_1-52774-e_gw1.956.2.1	gray_zone	-	E6UHD5	33.7	7.455e-07	0.0445	0.7642	0.4633
jgi-Exosp1-1312-PV08_01318T0	high_confidence_cazyme	GH17_e7	E4ZGT1	66.6	5.621e-103	0.2941	0.8252	0.6033
jgi-Pse1611_1-678592-fgenesh1_kg.9_#_1163_#_TRINITY_DN27580_c0_g1_i1	high_confidence_cazyme	GH188	WAH41379.1	51.9	8.768e-77	0.2304	0.8818	0.5856
jgi-Copci_AmutBmut1-480933-estExt_fgenesh1_pm.C_1500007	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5668	0.3917
jgi-Sacboulardii_1-5241-transcript:KQC42993	gray_zone	-	W5WIC8	50.4	3.752e-05	0.0428	0.7943	0.4699
jgi-XylFL0662B-580229-fgenesh1_kg.39_#_165_#_TRINITY_DN4533_c0_g1_i1	gray_zone	-	A0A7H8QMI3	69.0	2.737e-210	0.5812	0.8582	0.7551
jgi-Asphai1-30461-CE30460_1268	gray_zone	-	A0A4P9C869	31.4	4.169e-09	0.0550	0.5845	0.4236
jgi-Triham1-1286-D551_00002881-RA	gray_zone	-	K8ELT8	48.2	6.324e-103	0.3176	0.8452	0.6201
jgi-Lerer2-3652616-fgenesh1_kg.tig_7_#_13786_#_HWTOC_transcript/6546	gray_zone	-	A0A5B8D1S3	35.6	5.525e-10	0.0585	0.9034	0.5051
jgi-Asppap1-404314-fgenesh1_kg.2_#_1270_#_TRINITY_DN5662_c2_g1_i2	gray_zone	-	A0A3D4RVS1	38.2	1.728e-10	0.0576	0.8133	0.4821
jgi-Leumo1-161070-CE161069_3406	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4494	0.3623
jgi-MocaN2610_1-2659-BGZ47_002670-T1	high_confidence_cazyme	GH81_e0	-	0.0	nan	0.0000	0.4111	0.3528
jgi-Tryvi1-451189-e_gw1.51.131.1	gray_zone	-	A0A5K1JRG7	62.1	2.418e-156	0.4450	0.8082	0.6746
jgi-Anoalb1-2235248-gm1.2366_g	gray_zone	-	UIZ28362.1	37.5	1.393e-24	0.1003	0.6841	0.4712
jgi-FvanT159_1-462596-fgenesh1_kg.29_#_129_#_TRINITY_DN2704_c0_g1_i3	gray_zone	-	-	0.0	nan	0.0000	0.8721	0.4680
jgi-Aspdro1-220189-fgenesh1_pm.20_#_55	high_confidence_cazyme	GT62_e5	C5DXH7	76.1	2.428e-139	0.4066	0.9172	0.6826
jgi-MoclKOD947_1-2212-BGZ82_002231-T1	gray_zone	-	-	0.0	nan	0.0000	0.7952	0.4488
jgi-Antser1-888666-e_gw1.198.12.1	gray_zone	-	A0A8H8P723	58.5	7.307e-119	0.3438	0.8552	0.6357
jgi-Emmpa1-6669-transcript:PGH01721	gray_zone	-	-	0.0	nan	0.0000	0.4143	0.3536
jgi-Aspind2_1-211619-MIX2446_72_98	high_confidence_non_cazyme	-	A0A7S8DRQ0	40.7	3.953e-48	0.1623	0.8309	0.5389
jgi-Plecuc1-91873-CE91872_559	gray_zone	-	A0A8S2B4G5	51.7	1.676e-60	0.1902	0.8813	0.5654
jgi-Trialn1-43452-CE43451_223	gray_zone	-	G4T9P5	92.5	8.978e-18	0.0794	0.4872	0.4115
jgi-FoxF207_1-513236-gw1.3.164.1	high_confidence_cazyme	GH3_e99	W9KVC1	62.9	5.399e-123	0.3508	0.8974	0.6497
jgi-Asphethal1-261502-fgenesh1_kg.49_#_104_#_TRINITY_DN4347_c0_g1_i2	gray_zone	-	A0A8S2ADH0	66.4	1.292e-145	0.4302	0.7768	0.6593
jgi-Hyafin1-929085-gm1.9076_g	gray_zone	-	ULQ48338.1	60.7	1.381e-07	0.0515	0.8159	0.4797
jgi-Trichl1-315533-fgenesh1_kg.42_#_37_#_TRINITY_DN2453_c0_g1_i4	gray_zone	-	WEJ95743.1	64.6	4.976e-304	0.8351	0.7240	0.8485
jgi-Fuspo1-12963-transcript:OBS16736	gray_zone	-	A0A4U7JJ76	40.9	3.214e-06	0.0471	0.8087	0.4757
jgi-Mycmet1-1492185-fgenesh1_kg.2_#_902_#_TRINITY_DN11241_c0_g1_i1	gray_zone	-	A0A8H8P5D7	67.3	4.028e-163	0.4555	0.8474	0.6896
jgi-Aspisr1-23309-gm1.1848_g	gray_zone	-	A0A3T1DF45	54.4	3.831e-78	0.2330	0.8899	0.5890
jgi-LboET3784_1-1056906-fgenesh1_kg.8_#_1225_#_TRINITY_DN3092_c0_g2_i2	gray_zone	-	A0A8F2JB76	33.6	2.735e-31	0.1195	0.6715	0.4777
jgi-Aspaurlut1-286922-fgenesh1_kg.76_#_65_#_TRINITY_DN8876_c0_g1_i1	gray_zone	-	A0A6L9JGG6	67.3	1.775e-139	0.3901	0.8753	0.6638
jgi-Aspoli1_1-123698-CE123697_4457	gray_zone	-	BBK36723.1	36.2	1.636e-05	0.0445	0.7263	0.4538
jgi-Triatr1-31322-CE31321_721	gray_zone	-	A0A8H8T062	52.2	1.197e-122	0.3700	0.8320	0.6430
jgi-Papla1-462870-estExt_Genewise1Plus.C_4_t10430	gray_zone	-	QYO62262.1	67.1	4.082e-114	0.3342	0.7652	0.6084
jgi-Conlig1-414887-CE414886_4822	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5095	0.3774
jgi-Cersc1-459516-MIX7642_1551_96	gray_zone	-	K8EML4	59.8	1.086e-91	0.2670	0.8703	0.6011
jgi-Colac2-728062-estExt_fgenesh1_pg.C_170085	gray_zone	-	A0A7H8QK02	70.7	2.012e-121	0.3499	0.7803	0.6200
jgi-PhlFC14_2-615299-CE615298_6202	gray_zone	-	UGU17889.1	33.5	1.046e-07	0.0497	0.9024	0.5005
jgi-Aspcer1-168599-fgenesh1_pm.114_#_18	high_confidence_cazyme	AA7_e0	G4TLG0	50.4	4.522e-90	0.2679	0.8995	0.6088
jgi-Cerzm1-67272-estExt_Genewise1Plus.C_10_t10224	high_confidence_cazyme	GH2_e74	E5ADM2	62.7	8.462e-198	0.5506	0.8410	0.7356
jgi-Triev1-382752-gm1.4715_g	gray_zone	-	A0A6C1BZH2	52.1	3.875e-32	0.1169	0.8335	0.5168
jgi-Asphor1-113323-fgenesh1_kg.1_#_901_#_TRINITY_DN8657_c0_g1_i1	gray_zone	-	QJW83893.1	42.4	5.348e-05	0.0428	0.8878	0.4933
jgi-Corin1-41308-gm1.10382_g	gray_zone	-	A0A6L9JRK9	39.8	1.187e-182	0.5253	0.8923	0.7357
jgi-Enthe1-2383-transcript:OQS54650	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5823	0.3956
jgi-Rhima1-3423-transcript:KIX08776	gray_zone	-	A0A8H8SZN1	55.6	2.206e-102	0.3168	0.8336	0.6168
jgi-MospAD032_1-10053-BGX24_010108-T1	gray_zone	-	A0A7R8W750	66.9	2.758e-75	0.2260	0.8230	0.5688
jgi-Ser411_1-1283673-fgenesh1_kg.5_#_177_#_TRINITY_DN4176_c0_g1_i2	high_confidence_non_cazyme	-	F8F352	45.1	2.047e-28	0.1099	0.8678	0.5219
jgi-Aspni_bvT_1-326197-estExt_fgenesh1_pm.C_530003	high_confidence_non_cazyme	-	UOH82475.1	61.3	2.462e-72	0.2208	0.8530	0.5736
jgi-Aspac1-110640-fgeneshO_kg.1_#_1923_#_Locus_2391_Transcript_1/1_Confidence_1.000	high_confidence_non_cazyme	-	A0A6B9WXQ2	63.9	9.555e-08	0.0506	0.7535	0.4637
jgi-Aspbrevi1-272989-MIX5912_1039_81	gray_zone	-	A0A9Q8T8N0	65.4	5.422e-273	0.7557	0.8740	0.8463
jgi-TrireMAT12_1-9913-TRC2_009098-T1	gray_zone	-	WDK16822.1	66.8	4.461e-53	0.1789	0.7135	0.5178
jgi-Triso1-2670-transcript:EZF76354	gray_zone	-	A0A4D6KIU9	56.3	7.064e-68	0.2068	0.7845	0.5495
jgi-Eurhe1-463716-e_gw1.30.132.1	gray_zone	-	A0A9Q8Z2Q8	62.5	6.057e-64	0.2007	0.7900	0.5479
