protein_id	tier	adjudicated_tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Suigla1-2075338-gm4.23041_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8D9CM86	71.4	2.57e-183	0.507	0.8797	0.7234
jgi-Ilyeu1-477476-e_gw1.4.528.1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7G5JCU4	67.8	5.605e-117	0.3394	0.7975	0.6191
jgi-Fuspr1-7436-transcript:CVL09730	gray_zone	gray_zone_structure_supports_cazyme	-	A0A0A1MFJ7	59.9	2.953e-117	0.3412	0.906	0.6471
jgi-Loppic1-503775-fgenesh1_pm.2_#_130	high_confidence_cazyme	high_confidence_cazyme	GH28_e68	A0A9Q8WKY2	55.9	5.738e-99	0.2897	0.7453	0.5812
jgi-Mycvul1-1139739-fgenesh1_kg.20_#_490_#_TRINITY_DN7122_c0_g1_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	UJR30668.1	36.2	7.813999999999999e-29	0.1126	0.7462	0.4928
jgi-Vitco1-1358-transcript:ELA41618	gray_zone	gray_zone_structure_supports_non_cazyme	-	WFD24228.1	31.7	9.619e-13	0.0654	0.8508	0.4954
jgi-Zancul2-4283-AX774_g2533T0	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8R1M2	75.9	1.511e-288	0.7958	0.9008	0.8731
jgi-Lorma1-573120-fgenesh1_pm.30_#_47	high_confidence_cazyme	high_confidence_cazyme	GT22_e1	A0A8G0PIX5	69.6	2.232e-186	0.5183	0.8807	0.7293
jgi-Cersam1-318613-fgenesh1_kg.36_#_37_#_TRINITY_DN10937_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	QWU87570.1	64.0	8.421e-155	0.4389	0.8764	0.6886
jgi-Pbif18543_1-377898-fgenesh1_kg.18_#_154_#_TRINITY_DN4258_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8QQC8	73.2	3.653e-114	0.3229	0.8794	0.6313
jgi-Serend1-1285088-fgenesh1_kg.8_#_2060_#_TRINITY_DN3808_c0_g1_i3	gray_zone	gray_zone_ambiguous_structure	-	A0A7R8HE42	61.5	1.9809999999999998e-61	0.1937	0.772	0.5399
jgi-Lopma1-690929-fgenesh1_kg.36_#_97_#_Locus4031v4rpkm0.00_PRE	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A9X4XC33	48.7	1.579e-10	0.0576	0.7879	0.4758
jgi-Cyaste1-306558-fgenesh1_pm.136_#_44	gray_zone	gray_zone_ambiguous_structure	-	ULT88936.1	51.8	2.246e-81	0.26	0.8843	0.6011
jgi-Fusoxcub1-7352-rna-gnl-WGS:AGND-mrna_FOIG_10423T0	high_confidence_cazyme	high_confidence_cazyme	GH28_e29	A0A9Q8SGP5	61.9	1.294e-132	0.377	0.7957	0.6374
jgi-Echtin1-213422-e_gw1.18.207.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.5075	0.3769
jgi-Rhivul1-754458-fgenesh1_kg.1_#_1260_#_TRINITY_DN1966_c0_g1_i1	gray_zone	gray_zone_ambiguous_structure	-	K8ELT8	44.9	7.664e-87	0.2749	0.8736	0.6058
jgi-Oidma1-56909-gm1.10239_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A0X8FC50	50.5	1.637e-06	0.048	0.4884	0.3961
jgi-Fusspo1-831179-fgenesh1_kg.1_#_10787_#_TRINITY_DN12_c0_g1_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A416HU22	36.6	1.976e-07	0.0497	0.8135	0.4783
jgi-TriharM10_1-361340-e_gw1.80.115.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4581	0.3645
jgi-Asplup1-228436-MIX2581_9_61	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A0A8K409	40.6	1.703e-07	0.0497	0.7949	0.4736
jgi-Fusdim1-323825-fgenesh1_kg.3_#_1689_#_TRINITY_DN24309_c0_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A8WLB6	46.2	1.2330000000000001e-71	0.2304	0.5488	0.5024
jgi-Exigl1-840310-estExt_Genemark1.C_2570010	gray_zone	gray_zone_ambiguous_structure	-	G4T601	70.2	9.171e-77	0.2234	0.8304	0.5693
jgi-Asppern1-185713-fgenesh1_kg.3_#_44_#_TRINITY_DN8433_c0_g1_i1	gray_zone	gray_zone_ambiguous_structure	-	A0A160SZ52	55.3	3.5750000000000003e-63	0.199	0.8167	0.5536
jgi-LobpulSc1-2114692-e_gw1.215.14.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	E6N5Y4	40.9	5.318e-07	0.048	0.7557	0.4629
jgi-Aspaur1-163032-fgenesh1_kg.26_#_245_#_TRINITY_DN3327_c0_g2_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8Z7W0	49.6	3.684e-86	0.2705	0.908	0.6123
jgi-Stalo1-37343-gm4.8314_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8NQI3	51.7	4.953e-142	0.4206	0.6517	0.6232
jgi-XyFL0064_1-435164-CE435163_5237	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A516GEZ8	42.4	1.498e-10	0.0593	0.8444	0.4908
jgi-Tralac1-792459-gm1.7408_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.808	0.452
jgi-Colhig2-10405-CH63R_09197T0	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A9Q9B1R6	54.2	9.579e-11	0.0593	0.541	0.4149
jgi-Chabre1-167439-fgenesh1_kg.51_#_22_#_TRINITY_DN5681_c1_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8S2B1C7	74.6	2.3389999999999998e-287	0.7775	0.7335	0.8221
jgi-Jahaq1-425405-fgenesh1_pg.27_#_5	gray_zone	gray_zone_structure_supports_non_cazyme	-	D3LB02	44.6	0.000447	0.041	0.8729	0.4887
jgi-OphpiCECT20416_2-85074-g5361.t1	high_confidence_cazyme	high_confidence_cazyme	GH2_e138	A0A7S9KMP8	62.3	4.01e-288	0.7897	0.8991	0.8696
jgi-XylFL0255-373465-fgenesh1_kg.41_#_45_#_TRINITY_DN5872_c0_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A9W4E5U6	68.0	1.478e-06	0.0445	0.6376	0.4316
jgi-Colch1-9358-mrna_5134	high_confidence_cazyme	high_confidence_cazyme	PL3_2	K3VZT4	71.8	1.918e-73	0.2164	0.6972	0.5325
jgi-FvanT219_1-339633-gm1.7591_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8NR81	55.9	3.075e-117	0.356	0.7278	0.61
jgi-Cerun2-391868-estExt_fgenesh1_pm.C_40003	gray_zone	gray_zone_structure_supports_non_cazyme	-	QGI70183.1	42.3	5.574e-07	0.0462	0.8175	0.4775
jgi-Sisbr1-584518-fgenesh1_kg.36_#_78_#_Locus1125v1rpkm136.08	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A1M5VN16	50.0	5.988e-18	0.0794	0.7	0.4647
jgi-Aspara19utr-161591-gm1.4562_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A975G804	46.2	1.4700000000000002e-32	0.1117	0.7958	0.5048
jgi-Blader1-3598-transcript:EEQ86234	gray_zone	gray_zone_ambiguous_structure	-	UJR15328.1	36.6	2.292e-53	0.1806	0.8907	0.563
jgi-Penla1-382107-fgenesh1_kg.3_#_1083_#_Locus8549v1rpkm2.17	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A517L1J3	66.9	4.894e-19	0.0812	0.7657	0.482
jgi-Mycbel1-957140-gm1.15147_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A3N0UEH9	55.8	0.0006965	0.0384	0.7486	0.4563
jgi-Morsem1-808839-estExt_Genemark1.C_70120	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A2E9G1A6	31.5	2.334e-19	0.0838	0.8554	0.5057
jgi-Fusox32931-3655-rna-gnl-WGS:AFML-mrna_FOYG_14902T0	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8RC90	54.9	1.557e-239	0.671	0.8928	0.8087
jgi-Kurca1-3405-KUCA_T00003423001T0	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A448HK95	64.7	0.0004025	0.0393	0.8027	0.4703
jgi-Phcap1-461529-fgenesh1_pm.3_#_415	gray_zone	gray_zone_ambiguous_structure	-	A0A1S9DVV1	64.8	2.4859999999999998e-83	0.2548	0.8005	0.5775
jgi-Colca1-650021-gm1.9665_g	high_confidence_cazyme	high_confidence_cazyme	GT2	A0A7S9PTR3	70.8	7.376000000000001e-128	0.3656	0.8893	0.6551
jgi-Fusoxpis1-18827-rna-gnl-WGS:AGBI-mrna_FOVG_08061T0	gray_zone	gray_zone_ambiguous_structure	-	QWU88511.1	69.9	2.264e-90	0.2696	0.7876	0.5817
jgi-Suiac1-929965-CE929964_68994	gray_zone	gray_zone_structure_supports_non_cazyme	-	G9I453	59.0	1.9940000000000002e-26	0.1056	0.8111	0.5056
jgi-Aspsub1-34813-CE34812_1282	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A6H0XL47	32.4	9.718e-20	0.0855	0.843	0.5035
jgi-Mycgal1-1890246-fgenesh1_kg.562_#_11_#_Locus4990v2rpkm39.76	gray_zone	gray_zone_ambiguous_structure	-	A0A7G5YFP7	47.0	2.514e-49	0.1632	0.8267	0.5383
jgi-Thiau1-4533-rna-Thiau2p7_22362	gray_zone	gray_zone_structure_supports_non_cazyme	-	WDS61131.1	37.1	3.624e-13	0.0672	0.8436	0.4945
jgi-Aspber1-257042-fgenesh1_kg.27_#_100_#_TRINITY_DN4860_c0_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A6M7ZRF1	74.6	1.4110000000000002e-123	0.3551	0.7612	0.6179
jgi-Asppet1-272269-fgenesh1_kg.132_#_96_#_TRINITY_DN6461_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	WEJ95743.1	61.6	0.0	0.9389	0.7814	0.9148
jgi-Trave1-125459-e_gw1.7.1136.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A7G8HBT0	75.4	3.384e-06	0.0471	0.8124	0.4767
jgi-Leucr1-328801-gm1.1289_g	gray_zone	gray_zone_ambiguous_structure	-	A0A385BR82	66.9	1.5690000000000002e-102	0.3054	0.8148	0.6064
jgi-Epini1-438852-fgenesh1_pm.5_#_331	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.5776	0.3944
jgi-ChetHm540_1-7508-g2936	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A286TA43	47.5	3.75e-08	0.0515	0.9012	0.501
jgi-Aspestel1-186377-fgenesh1_kg.48_#_87_#_TRINITY_DN6142_c1_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	QHO35311.1	47.0	1.132e-48	0.1675	0.6902	0.5063
jgi-Macan1-391935-estExt_Genewise1Plus.C_14_t20021	high_confidence_cazyme	high_confidence_cazyme	GH36_e36	A0A1X7RZ61	63.9	6.026e-257	0.7016	0.8847	0.8219
jgi-Aspflo1-180827-gm1.10654_g	high_confidence_cazyme	high_confidence_cazyme	AA3_2	Q6MYZ6	67.7	3.791e-218	0.5986	0.8795	0.7692
jgi-Fusco1-511280-e_gw1.8.1202.1	high_confidence_cazyme	high_confidence_cazyme	GH32_e30	A0A7S8CZV9	57.9	4.875e-195	0.5393	0.8209	0.7248
jgi-Asparx1-214398-gm1.9443_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8S1ZP17	67.6	9.090000000000001e-144	0.4127	0.8415	0.6667
jgi-Ricme1-502599-CE502598_6715	gray_zone	gray_zone_structure_supports_non_cazyme	-	A5B9G1	60.2	6.754e-12	0.0628	0.8052	0.4827
jgi-Antleu1-28997-CE28996_15702	gray_zone	gray_zone_structure_supports_non_cazyme	-	E3FFR9	45.1	1.928e-14	0.0698	0.8233	0.4907
jgi-Penth1-192292-estExt_Genemark1.C_2060012	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8T5U2	53.9	3.9249999999999997e-228	0.6422	0.785	0.7674
jgi-Mychae1-958442-gw1.817.2.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.706	0.4265
jgi-Polar1-513129-estExt_Genewise1.C_320128	gray_zone	gray_zone_ambiguous_structure	-	CAG5109774.1	53.6	1.232e-49	0.1632	0.881	0.5518
jgi-Sacpr1-72030-fgenesh1_pm.3_#_511	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7S8DN07	73.4	2.27e-153	0.4258	0.9174	0.6923
jgi-Sakvas1-91-SVAS_05486-R0	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A2S2E0R4	49.3	0.000343	0.0401	0.817	0.4743
jgi-Fusave1-606776-MIX4995_26_68	high_confidence_cazyme	high_confidence_cazyme	CBM38_e5|GH32_e104	-	0.0		0.0	0.4348	0.3587
jgi-Aspsy1-1168052-MIX14391_8_57	gray_zone	gray_zone_structure_supports_non_cazyme	-	F4CUL5	48.2	5.036e-17	0.075	0.8464	0.4991
jgi-Asprhi1-174526-MIX2554_67_85	gray_zone	gray_zone_ambiguous_structure	-	A0A1S9DVV1	63.0	1.127e-84	0.2583	0.7932	0.5775
jgi-Asppha1-13258-e_gw1.138.2.1	gray_zone	gray_zone_structure_supports_cazyme	-	UJR30406.1	69.5	1.0690000000000001e-155	0.4372	0.7921	0.6666
jgi-Mycoli1-3454467-gm1.34009_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5105	0.3776
jgi-FvanT78_1-273358-gm1.1659_g	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q9DVU5	62.0	9.216e-81	0.2452	0.7845	0.5687
jgi-Asplon1-188591-fgenesh1_kg.26_#_15_#_TRINITY_DN6382_c1_g1_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	WED64221.1	44.3	7.261e-10	0.055	0.8156	0.4814
jgi-Lenafn_TMI1502_1-52774-e_gw1.956.2.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	E6UHD5	33.7	7.455e-07	0.0445	0.7669	0.464
jgi-Exosp1-1312-PV08_01318T0	high_confidence_cazyme	high_confidence_cazyme	GH17_e7	E4ZGT1	66.6	5.621e-103	0.2941	0.8313	0.6049
jgi-Pse1611_1-678592-fgenesh1_kg.9_#_1163_#_TRINITY_DN27580_c0_g1_i1	high_confidence_cazyme	high_confidence_cazyme	GH188	WAH41379.1	51.9	8.768e-77	0.2304	0.8758	0.5841
jgi-Copci_AmutBmut1-480933-estExt_fgenesh1_pm.C_1500007	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5848	0.3962
jgi-Sacboulardii_1-5241-transcript:KQC42993	gray_zone	gray_zone_structure_supports_non_cazyme	-	W5WIC8	50.4	3.752e-05	0.0428	0.81	0.4739
jgi-XylFL0662B-580229-fgenesh1_kg.39_#_165_#_TRINITY_DN4533_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8QMI3	69.0	2.737e-210	0.5812	0.8698	0.758
jgi-Asphai1-30461-CE30460_1268	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A4P9C869	31.4	4.169e-09	0.055	0.6044	0.4286
jgi-Triham1-1286-D551_00002881-RA	gray_zone	gray_zone_structure_supports_cazyme	-	K8ELT8	48.2	6.324e-103	0.3176	0.863	0.6246
jgi-Lerer2-3652616-fgenesh1_kg.tig_7_#_13786_#_HWTOC_transcript/6546	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A5B8D1S3	35.6	5.525e-10	0.0585	0.9115	0.5071
jgi-Asppap1-404314-fgenesh1_kg.2_#_1270_#_TRINITY_DN5662_c2_g1_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A3D4RVS1	38.2	1.728e-10	0.0576	0.8165	0.4829
jgi-Leumo1-161070-CE161069_3406	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.4641	0.366
jgi-MocaN2610_1-2659-BGZ47_002670-T1	high_confidence_cazyme	high_confidence_cazyme	GH81_e0	-	0.0		0.0	0.429	0.3573
jgi-Tryvi1-451189-e_gw1.51.131.1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A5K1JRG7	62.1	2.4180000000000003e-156	0.445	0.8258	0.679
jgi-Anoalb1-2235248-gm1.2366_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	UIZ28362.1	37.5	1.393e-24	0.1003	0.7036	0.4761
jgi-FvanT159_1-462596-fgenesh1_kg.29_#_129_#_TRINITY_DN2704_c0_g1_i3	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.8883	0.4721
jgi-Aspdro1-220189-fgenesh1_pm.20_#_55	high_confidence_cazyme	high_confidence_cazyme	GT62_e5	C5DXH7	76.1	2.428e-139	0.4066	0.9272	0.6851
jgi-MoclKOD947_1-2212-BGZ82_002231-T1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.8085	0.4521
jgi-Antser1-888666-e_gw1.198.12.1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8P723	58.5	7.307e-119	0.3438	0.8561	0.6359
jgi-Emmpa1-6669-transcript:PGH01721	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4309	0.3577
jgi-Aspind2_1-211619-MIX2446_72_98	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A7S8DRQ0	40.7	3.9530000000000003e-48	0.1623	0.8399	0.5411
jgi-Plecuc1-91873-CE91872_559	gray_zone	gray_zone_ambiguous_structure	-	A0A8S2B4G5	51.7	1.6759999999999998e-60	0.1902	0.892	0.5681
jgi-Trialn1-43452-CE43451_223	gray_zone	gray_zone_structure_supports_non_cazyme	-	G4T9P5	92.5	8.978e-18	0.0794	0.5048	0.4159
